origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur,price_formatted,segment_count,itinerary_id
FR,CDG,IT,FCO,2026-06-01T19:55:00,2026-06-02T12:20:00,985,2,"Lufthansa, ITA Airways",321.71,322 €,3,"10413-2606011955--32090,-30727-2-11493-2606021220"
FR,CDG,IT,FCO,2026-06-01T10:15:00,2026-06-02T07:55:00,1300,1,Bulgaria Air,243.92,244 €,2,10413-2606011015--32474-1-11493-2606020755
FR,CDG,IT,FCO,2026-06-01T09:15:00,2026-06-01T15:45:00,390,1,Air Europa,815.54,816 €,2,10413-2606010915--32680-1-11493-2606011545
FR,CDG,IT,FCO,2026-06-01T20:35:00,2026-06-02T13:30:00,1015,1,Air Algerie,313.5,314 €,2,10413-2606012035--32717-1-11493-2606021330
FR,CDG,IT,FCO,2026-06-01T21:30:00,2026-06-02T08:10:00,640,1,ITA Airways,501.63,502 €,2,10413-2606012130--30727-1-11493-2606020810
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,"Brussels Airlines, Bulgaria Air",1437.68,"1,438 €",2,"10413-2606010955--32478,-32474-1-11493-2606011340"
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T13:15:00,1020,1,Smart Wings,320.63,321 €,2,10413-2606012015--31845-1-11493-2606021315
FR,CDG,IT,FCO,2026-06-01T17:55:00,2026-06-02T08:10:00,855,1,Austrian Airlines,383.55,384 €,2,10413-2606011755--32544-1-11493-2606020810
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T12:35:00,935,1,Lufthansa,355.05,356 €,2,10413-2606012100--32090-1-11493-2606021235
FR,CDG,IT,FCO,2026-06-01T12:35:00,2026-06-01T16:25:00,230,1,Air France,1444,"1,444 €",2,10413-2606011235--32677-1-11493-2606011625
FR,CDG,IT,FCO,2026-06-01T12:25:00,2026-06-02T10:10:00,1305,1,Norwegian Air Sweden,262.28,263 €,2,10413-2606011225--30685-1-11493-2606021010
FR,CDG,IT,FCO,2026-06-01T14:25:00,2026-06-01T23:35:00,550,1,Turkish Airlines,649.93,650 €,2,10413-2606011425--31734-1-11493-2606012335
FR,CDG,IT,FCO,2026-06-01T19:45:00,2026-06-02T09:45:00,840,1,LOT,428.69,429 €,2,10413-2606011945--32093-1-11493-2606020945
FR,CDG,IT,FCO,2026-06-01T07:00:00,2026-06-01T14:05:00,425,1,Air Europa,867.5,868 €,2,10413-2606010700--32680-1-11493-2606011405
FR,CDG,IT,FCO,2026-06-01T19:25:00,2026-06-02T17:05:00,1300,1,Aegean Airlines,285.3,286 €,2,10413-2606011925--32756-1-11493-2606021705
